Foodcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
102123,中老年奶粉（三鹿牌）,5.5,3.4,1.2,,,
102124,中老年奶粉（森永牌）,,,,,,
103007,酸奶（调味）,3,2.5,0.5,,,
103008,酸奶（果粒）,2.7,2.2,0.5,,,
104012,奶酪（光明牌）,26.8,19.6,6.4,0.7,,
104013,奶酪（骑士牌）,,,,,,
104014,低脂奶酪,11,9.5,1.4,,,
104015,硬质干酪,,,,,,
105008,奶油,81.3,62.1,17.6,1.5,,
109004,全脂甜炼乳（雀巢）,9.5,5.9,3.2,0.4,,
109005,全脂甜炼乳（燕山牌）,9.5,5.1,3.7,0.6,,
109006,脱脂甜炼乳,,,,,,
111109,鸡蛋（红皮）,8.7,6.8,1.8,0.1,,
111110,藏鸡蛋,,,,,,
111111,乌鸡蛋（绿皮）,8.8,3.2,5.2,0.4,,
111204,鸡蛋（煮）,,,,,,
111205,毛蛋,,,,,,
111206,荷包蛋（油煎）,,,,,,
111207,荷包蛋（煮）,,,,,,
112104,海鸭蛋,11.5,3.9,7.3,0.2,,
112203,咸鸭蛋（煮）,11.2,4.2,7,,,
113104,鹅蛋（煮）,,,,,,
121131,草鱼[白鲩、草包鱼],1.8,0.7,0.9,0.3,,
121132,鲢鱼[白鲢、胖子、鲢子鱼],1.5,0.8,0.7,,,
121133,鲫鱼[洗头鱼、海附鱼],1.1,0.4,0.5,0.2,,
121241,带鱼（切段）,2.9,1.5,1.4,,,
121242,黄鱼（小黄花鱼）,3.6,1.5,2,0.1,,
121243,金鳇鱼,,,,,,
121244,鲭鱼,27.6,6.4,12.5,8.7,1.5,11.4
121245, 双鬓鲨,0.1,0,0,0,6,
121303,金鲨鱼翅（干）,,,,,,
121304,鱼排,2.2,1.3,0.7,0.1,,
121305,鱼丸,1.2,0.7,0.4,0.1,,
121306,鱼子酱,6.4,1.1,1.5,3.8,,
121401,草鱼（熏）,15.3,1.8,6.2,7.3,17.4,
121402,丁香鱼（香辣味）,25.4,3.8,6.1,15.1,6,
121403,凤尾鱼（熟）,,,,,,
121404,箭鱼（炸）,11.3,2.6,4.5,4.2,,
121405,金枪鱼（盐水浸）,,,,,,
121406,金枪鱼（油浸）,,,,,,
121407,鲮鱼（豆豉，熟）,29.8,8.5,10.3,11.4,,
121408,鳗鱼（红烧）,6.9,1.2,1.9,3.8,,
121409,鲭鱼（烤，150℃，10分）,26.5,5.8,11.8,8.9,7.9,11.7
121410,鲭鱼（烤，150℃，20分）,24.4,5.7,10.8,7.9,7.5,11.8
121411,鲭鱼（烤，150℃，30分）,35,8.1,15.8,11.2,7.8,11.4
121412,鲭鱼（烤，180℃，10分）,22.3,5.1,10.2,6.9,7.1,11.1
121413,鲭鱼（烤，210℃，10分）,30.4,7,13.7,9.7,7.6,11.4
