Fcode,cmfp,dash,hei,FD_name,edible,water,kcal,kj,prot,fat,cho,fiber,sodium
133018,,,,米粉（猪肝蔬菜，亨氏）,100,3.5,391,1636,10,3,81,,
133019,,,,米粉（鱼肉蔬菜，亨氏）,100,3.5,383,1603,14.5,1.5,77.9,,
133020,,,,麦粉（蜂蜜，雀巢）,100,3,376,1574,8.4,3.4,80.2,,
141038,,,,春卷（素馅）,100,55.2,182,762,4.9,4.6,33.8,3.5,535.8
141039,,,,黑芝麻汤圆,100,37.2,311,1300,4.4,13.8,44.2,2,23.2
141040,,,,醪糟,100,74.7,100,418,2.6,0.2,22.4,0.5,19
141041,,,,煎饼,100,16,317,1327,9.5,3.5,70,8.1,18.1
141042,,,,过桥米线,100,79.4,92,385,4,3.8,11.8,,310.4
142108,,,,蛋糕（巧克力）,100,24.1,437,1828,4.7,30.4,40.2,,129
142109,,,,蛋糕（水果）,100,25.3,347,1452,2.9,9.1,61.6,,270
142209,,,,月饼（蛋黄）,100,23,399,1669,6,20,50.2,1.5,108.8
142210,,,,月饼（豆沙）,100,22.3,325,1362,5.4,6.9,64.8,4.4,79.4
142211,,,,月饼（桂花板栗）,100,20.8,331,1386,5.7,6.6,66.3,4,104
142212,,,,月饼（奶油莲芸）,100,20.5,361,1510,5.5,13,60.4,,27.6
142332,,,,沙琪玛蛋酥,100,8,506,2116,5.9,30.4,55.1,3,114.2
142333,,,,香橙水果馅饼,100,10.7,445,1864,4.8,19,64.2,,300
151001,,,,鸡柳汉堡（肯德基）,100,46.5,269,1126,13.9,13.6,23.8,,350.2
151002,,,,香芋甜心（肯德基）,100,36.7,280,1169,2.8,7.5,51.8,,194.5
151003,,,,鸡肉汉堡（肯德基）,100,43.3,292,1220,7.9,16.3,31,,489.7
151004,,,,鸡肉卷（肯德基）,100,49.2,253,1057,10.1,13.1,25.2,,816.1
151005,,,,上校鸡块（肯德基）,100,46.5,261,1092,16.9,12.5,21.1,,370.6
151006,,,,辣鸡翅（肯德基）,67,41.3,337,1411,19.4,23.6,12.8,,499.3
151007,,,,新奥尔良鸡翅（肯德基）,70,54.1,240,1003,22.1,13.8,6.8,,1263.3
151008,,,,劲爆鸡米花（肯德基）,100,44,302,1262,18.4,18.9,16.2,,895.3
151009,,,,甜玉米粒（肯德基）,100,67.2,119,496,3.2,0.2,28.6,,11.5
151010,,,,薯条（肯德基）,100,37.7,298,1248,4.3,15.5,40.5,,58.2
151011,,,,比萨饼（夹奶酪）,100,47.8,225,941,12.2,5.1,32.5,,533
151012,,,,比萨饼（夹奶酪、肉和蔬菜）,100,47.7,235,982,16.5,6.8,27,,484
151013,,,,三明治（夹火腿、干酪）,100,50.8,244,1021,14.2,10.6,22.9,,528
151014,,,,三明治（夹鸡蛋、干酪）,100,56.3,234,979,10.7,13.3,17.8,,551
151015,,,,三明治（夹鸡肉片、无调料酱）,100,47.3,284,1187,13.3,16.2,21.3,,526
151016,,,,三明治（夹烤牛肉片）,100,48.6,247,1034,15.5,9.9,24.1,,570
151017,,,,三明治（夹鱼肉片）,100,47.4,276,1155,10.7,14.4,26,,389
151018,,,,干酪汉堡包（夹熏肉，加调料酱）,100,43.6,311,1303,16.4,18.9,19,,535
151019,,,,干酪汉堡包（普通型，夹单层肉饼，无调料酱）,100,37.3,316,1323,14.5,14.9,31.1,,490
151020,,,,干酪汉堡包（普通型，夹奶酪、单层肉饼，加调料酱）,100,47.7,263,1101,14.1,12.5,23.5,,545
151021,,,,干酪汉堡包（普通型，夹奶酪、单层肉饼，加调料酱和蔬菜）,100,55.2,235,983,11.6,12.9,18.3,,634
151022,,,,干酪汉堡包（普通型，夹奶酪、双层肉饼、双层面包，加调料酱和蔬菜）,100,46.6,285,1191,13,15.5,23.3,,404
151023,,,,汉堡包（普通型，夹肉饼，加调料酱和蔬菜）,100,49.4,256,1073,11.7,12.3,24.8,,458
151024,,,,热狗（原味）,100,54,250,1044,10.6,14.8,18.4,,684
152105,,,,早餐奶,100,86.3,68,284,2.3,3.1,7.7,0,64.6
152106,,,,八宝粥（康师傅）,100,84.5,81,340,1.5,4.4,9.4,0.5,13.9
152107,,,,八宝粥（亲亲牌）,100,84.9,76,320,2.1,4,8.8,0.8,9.8
152108,,,,八宝粥（同茂牌）,100,88.2,46,193,1.3,0.2,10.2,0.4,8.6
152109,,,,八宝粥（娃哈哈牌）,100,84.3,64,266,1.7,0.9,12.8,0.6,12.2
152110,,,,八宝粥（无糖，娃哈哈牌）,100,88.1,45,189,1.6,0.8,9.4,1.4,4.7
152111,,,,八宝粥（椰树牌）,100,81.6,69,290,1.7,1,15.5,2.1,12
152112,,,,黑芝麻糊,100,2.3,408,1706,6.9,7.5,82.3,4.2,38.1
152113,,,,麦片,100,4,393,1642,6.5,9.7,76.3,6.5,318.4
152114,,,,麦片（原味香奶）,100,1.8,406,1698,4.7,9,82.8,6.3,138.6
152115,,,,燕麦片,100,9,353,1478,14.4,9.7,65.3,13.2,12.1
152116,,,,燕麦片（果仁，甜）,100,5.4,402,1682,8.9,11.1,73.5,6.9,26.5
152117,,,,苦荞麦片（无糖）,100,4.3,411,1721,7.2,8,77.9,,120
152118,,,,玉米片,100,3,365,1528,7,0.8,86,3.5,725
152119,,,,玉米片（低钠）,100,3,384,1608,7.7,0.3,88.8,1.1,10
152202,,,,鸡汁味干脆面（面饼+调味料）,100,2.3,505,2115,11.4,27,55.2,,976.8
152203,,,,海鲜味方便面（面饼+调味料+油料）,100,6.2,451,1889,10.4,19.2,60.1,,382.8
152204,,,,海鲜味方便面（面饼+调味料）,100,6.7,,,10.4,,78.7,,396.7
152205,,,,油料（海鲜味方便面）,100,0.3,,,10.2,,89.5,,0
152206,,,,红烧牛肉方便面（面饼+调味料+蔬菜+肉酱）,100,4.5,447,1869,10.2,17.9,62.6,1.4,465.5
152207,,,,红烧牛肉方便面（面饼+调味料+蔬菜）,100,3.8,,,10.4,,81.4,,491.3
152208,,,,肉酱（红烧牛肉方便面）,100,5.1,,,6.8,,76,,0
152209,,,,鳕鱼方便面（面饼+调味料+珍料+调味油+蔬菜）,100,5,470,1968,10.2,24.2,53.7,,828.8
152210,,,,鳕鱼方便面（面饼+调味料+蔬菜）,100,2.4,,,10.2,,80.5,,828.8
152211,,,,油酱料（珍料+调味油料，鳕鱼方便面）,100,77.6,,,10.2,,10.4,,0
152212,,,,铁板牛肉炒面（面饼+汤料+蔬菜+调味酱）,100,6,438,1833,11.7,18.8,59.3,3.8,561.8
152213,,,,铁板牛肉炒面（面饼+汤料+蔬菜）,100,3.9,,,12,,81.3,4.4,596.4
152214,,,,调味酱（铁板牛肉炒面）,100,8,,,10.1,,68.8,,0
152215,,,,玉米红烧牛肉味方便面（面饼+调味料+蔬菜+肉酱）,100,18.6,330,1380,5.8,4.1,68.5,,673.7
152216,,,,玉米红烧牛肉味方便面（面饼+调味料+蔬菜）,100,22.6,,,6,,68.3,,0
152217,,,,肉酱（玉米红烧牛肉味方便面）,100,16.2,,,3.6,,78.2,,0
152218,,,,海鲜鸡汁味米线（米线+调味料+蔬菜+肉酱）,100,58.1,167,699,4.5,1,35.5,,13.3
152219,,,,海鲜鸡汁味米线（米线+调味料+蔬菜）,100,58.8,,,3.9,,37.2,,0
152220,,,,肉酱（海鲜鸡汁味米线）,100,7.9,,,7.2,,69,,0
152221,,,,冬菜虾仁混沌,100,58.9,180,753,9.1,4.3,26.5,2.3,316
152222,,,,韭菜合子,100,59.1,211,883,7.5,11.3,20.3,1.4,287
152223,,,,糯米饭团,100,37,333,1393,5.9,17.6,38.3,1.1,393
152224,,,,什锦炒饭,100,58.7,188,787,5,5.6,29.7,2,220
152225,,,,虾仁炒饭,100,64.8,138,577,4.7,1.7,26.3,2.7,222
152314,,,,面包条（白）,100,33.8,283,1184,8.3,5.2,51.1,,66
152315,,,,面包屑,100,8.1,355,1485,14.2,3.7,72.4,,535
152316,,,,葡萄干面包,100,38,260,1088,6.6,3.7,50.1,,370
152415,,,,饼干（三明治）,100,2,515,2156,7.1,30.4,57.9,4.6,408.3
152416,,,,饼干（夹心）,100,1.4,449,1877,6.2,15.9,75.3,5.1,303.4
152417,,,,饼干（甜酥夹心）,100,2.3,557,2329,5.6,35.1,55.6,,324
152418,,,,饼干（苏打夹心）,100,1.6,463,1936,7.6,19.3,69.8,5.2,394.4
152419,,,,饼干（咸）,100,1.4,496,2075,8.4,25.6,62.7,4.7,697.2
152420,,,,曲奇饼（加奶油）,100,1.5,526,2201,6.4,27.2,64,,140
152421,,,,早茶饼,100,3.4,440,1840,8.1,14.5,72.2,3,436
152501,,,,饺子（素馅）,100,53.4,198,827,6.8,5.6,32.7,2.7,449.2
152502,,,,饺子（三鲜馅）,100,50.7,240,1002,8.8,12.3,26.6,3.2,611.6
152503,,,,饺子（猪肉白菜馅）,100,54.2,218,914,7.5,10.8,26,3.2,383.2
152504,,,,饺子（猪肉韭菜馅）,100,51.2,250,1046,7,14.4,26,2.9,397.6
152505,,,,饺子（猪肉芹菜馅）,100,52.6,253,1059,7,16.8,22.1,3.6,415
152506,,,,饺子（猪肉茴香馅）,100,51.1,223,932,7.3,9.1,31.1,3.2,335.6
152507,,,,饺子（猪肉香菇馅）,100,59.7,231,967,12.3,15.3,11.5,1.1,673
